id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
11551538,https://github.com/koajs/koa,koa,Expressive middleware for node.js using ES2017 async functions,34783,3222,1752,1195,214,3901,2024-04-22T06:25:10Z,0,,,1,0,0,0
11667865,https://github.com/reactjs/react-rails,react-rails,"Integrate React.js with Rails views and controllers, the asset pipeline, or webpacker.",6714,760,1324,1495,148,3943,2024-05-12T02:11:59Z,0,,,2,0,0,0
12028300,https://github.com/tediousjs/node-mssql,node-mssql,Microsoft SQL Server client for Node.js,2205,458,1641,1244,84,3903,2024-04-18T10:59:08Z,0,,,1,0,0,0
12558645,https://github.com/violentmonkey/violentmonkey,violentmonkey,Violentmonkey provides userscripts support for browsers. It works on browsers with WebExtensions support.,5048,421,1983,3211,64,3906,2024-05-14T14:33:18Z,0,,,1,0,0,0
12973222,https://github.com/depcheck/depcheck,depcheck,Check your npm module for unused dependencies,4514,218,876,1264,92,3766,2024-01-12T14:24:38Z,0,,,1,0,0,0
13112745,https://github.com/prerender/prerender,prerender,Node server that uses Headless Chrome to render a javascript-rendered page as HTML. To be used in conjunction with prerender middleware.,6361,914,785,720,61,3875,2024-05-06T11:30:08Z,0,,,1,0,0,0
13142168,https://github.com/prerender/prerender-node,prerender-node,Express middleware for prerendering javascript-rendered pages on the fly for SEO,915,191,243,308,42,3798,2024-02-20T12:42:54Z,0,,,1,0,0,0
13395052,https://github.com/mholt/PapaParse,PapaParse,Fast and powerful CSV (delimited text) parser that gracefully handles large files and malformed input,12072,1131,1050,503,121,3824,2024-03-27T16:29:21Z,0,,,1,0,0,0
13509707,https://github.com/concord-consortium/codap,codap,CODAP (Common Online Data Analysis Platform),87,37,1259,8242,24,3869,2024-05-15T16:08:53Z,0,,,3,0,0,0
13584262,https://github.com/webtorrent/webtorrent,webtorrent,⚡️ Streaming torrent client for the web,28851,2669,2691,3555,163,3842,2024-04-22T12:25:34Z,0,,,1,0,0,0
13911118,https://github.com/angular-fullstack/generator-angular-fullstack,generator-angular-fullstack,Yeoman generator for an Angular app with an Express server,6130,1244,2803,2787,141,3816,2023-02-14T04:42:54Z,0,,,1,0,0,0
13964315,https://github.com/brianc/node-pg-copy-streams,node-pg-copy-streams,"COPY FROM / COPY TO for node-postgres.  Stream from one database to another, and stuff.",325,44,154,242,14,3549,2023-07-17T10:46:10Z,0,,,1,0,0,0
14284411,https://github.com/padloc/padloc,padloc,"A modern, open source password manager for individuals and teams.",2523,228,713,3417,29,3682,2023-12-10T09:16:06Z,0,,,11,0,0,0
14397208,https://github.com/JetBrains/kotlin-web-site,kotlin-web-site,The Kotlin programming language website,1411,3641,4157,8419,405,3835,2024-05-15T09:30:08Z,0,,,1,0,0,0
