id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
168596957,https://github.com/frankadrian/lambda-sitemap-generator,lambda-sitemap-generator,NodeJS Lambda Function to generate set of urls from mysql,8,2,5,15,2,1578,2023-05-28T14:50:23Z,1,aws,serverless,1,0,0,0
169488969,https://github.com/microsoft/typescript-bot-test-triggerer,typescript-bot-test-triggerer,A quick azure function for reading comments on the TypeScript repo and then doing things like running tests,13,10,48,148,9,2112,2024-05-15T03:34:08Z,1,azure,azure_functions,1,0,0,1
174898772,https://github.com/amits97/naadan-chords,naadan-chords,Source code for Naadan Chords - A platform for guitarists,11,1,215,1056,2,1877,2024-04-30T09:39:10Z,49,aws,aws_cloudformation_and_sam;serverless,10,0,6,1
175176369,https://github.com/lumigo-io/SAR-Lambda-Janitor,SAR-Lambda-Janitor,"Cron job for deleting old, unused versions of your Function",132,39,62,69,6,1633,2023-08-31T12:39:42Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
175388220,https://github.com/lumigo-io/SAR-Logging,SAR-Logging,Serverless applications for managing CloudWatch Logs log groups for your Lambda functions.,66,16,94,166,9,1695,2023-11-02T22:07:49Z,5,aws,aws_cloudformation_and_sam,3,0,0,0
178646139,https://github.com/home-assistant/mobile-apps-fcm-push,mobile-apps-fcm-push,Push Notification Sender for Home Assistant official mobile apps,23,27,134,164,17,1818,2024-03-22T10:46:02Z,2,firebase,firebase,1,0,0,1
179146389,https://github.com/deeheber/text-to-speech-converter,text-to-speech-converter,A serverless application that converts blobs of text to speech in an audio file,11,7,62,172,-1,1743,2024-01-10T02:27:36Z,5,aws,aws_cloudformation_and_sam,6,0,5,0
179227351,https://github.com/ned-kelly/backup-and-bcp-for-aws,backup-and-bcp-for-aws,"A collection of scripts & tooling that's executed from Lambda to backup your AWS Services such as Route53, EBS, RDS, EFS, etc into a S3 bucket allowing you to sync into Google Cloud for Business Continuity. ",159,23,30,20,2,1413,2023-02-14T01:00:21Z,7,aws,serverless,1,0,5,0
180730354,https://github.com/MozillaReality/photomnemonic,photomnemonic,Simple AWS Lambda service for grabbing web screenshots,10,7,27,46,3,1450,2023-03-30T20:16:58Z,3,aws,aws_cloudformation_and_sam;serverless,1,0,1,0
181519971,https://github.com/thirdandgrove/thirdandgrove-com-gatsby,thirdandgrove-com-gatsby,Gatsby frontend for our Decoupled TAGv5,94,26,690,2436,23,1851,2024-05-09T16:45:15Z,2,netlify,netlify,2,0,4,0
181920217,https://github.com/adobe/aio-tvm,aio-tvm,"Token Vending Machine, integrate external cloud services into I/O Runtime",12,13,167,141,8,1825,2024-04-24T16:07:04Z,5,openwhisk,openwhisk,1,0,0,0
183087684,https://github.com/awslabs/aws-streaming-media-analytics,aws-streaming-media-analytics,AWS Streaming Media Analytics is a serverless end-to-end solution for analyzing the video streaming experience,39,15,32,115,5,1604,2023-09-14T06:34:47Z,4,aws,aws_cloudformation_and_sam,6,0,5,0
